Artist Name,Popularity,Followers,Artist ID,Artist URL,Time Range,Genre(s)
Pritam,90,52521175,1wRPtKGflJrBx9BmLsSwlU,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,medium_term,"bollywood, desi, hindi pop, sufi"
NF,79,10918179,6fOMl44jA4Sp5b9PpYCkzz,https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz,medium_term,christian hip hop
Her's,66,1122181,77mJc3M7ZT5oOVM7gNdXim,https://open.spotify.com/artist/77mJc3M7ZT5oOVM7gNdXim,medium_term,indie
Tegi Pannu,63,1110614,78sIlhMniFgXlOrNWnPtIl,https://open.spotify.com/artist/78sIlhMniFgXlOrNWnPtIl,medium_term,"bhangra, desi, punjabi hip hop, punjabi pop"
I DONT KNOW HOW BUT THEY FOUND ME,61,1097728,0Raaw7kr1Vzat4ZvHzjsJR,https://open.spotify.com/artist/0Raaw7kr1Vzat4ZvHzjsJR,medium_term,
Don Toliver,87,6850929,4Gso3d4CscCijv0lmajZWs,https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs,medium_term,
Weathers,55,312775,4OTFxPi5CtWyj1NThDe6z5,https://open.spotify.com/artist/4OTFxPi5CtWyj1NThDe6z5,medium_term,
The Notorious B.I.G.,80,12246228,5me0Irg2ANcsgc93uaYrpb,https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb,medium_term,"east coast hip hop, gangster rap, hip hop, old school hip hop"
d4vd,84,4116750,5y8tKLUfMvliMe8IKamR32,https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32,medium_term,
mikeeysmind,68,236094,0g0ZYLiNYI4kMg8MX76bkN,https://open.spotify.com/artist/0g0ZYLiNYI4kMg8MX76bkN,medium_term,
"Black Country, New Road",61,398661,3PP6ghmOlDl2jaKaH0avUN,https://open.spotify.com/artist/3PP6ghmOlDl2jaKaH0avUN,medium_term,"art rock, post-punk, post-rock"
J. Cole,86,26482683,6l3HvQ5sa6mXTsMTB19rO5,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,medium_term,rap
Gunna,87,9635601,2hlmm7s2ICUX0LVIhVFlZQ,https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ,medium_term,melodic rap
Mankirt Aulakh,63,6727279,3uHUKCspaCzAab9A3LlGAr,https://open.spotify.com/artist/3uHUKCspaCzAab9A3LlGAr,medium_term,"bhangra, punjabi hip hop, punjabi pop"
Geeta Dutt,49,1378970,0QsbYX8XslSSUcztc6u4pO,https://open.spotify.com/artist/0QsbYX8XslSSUcztc6u4pO,medium_term,ghazal
David Bowie,79,11471716,0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,medium_term,"art rock, glam rock"
Imran Khan,63,3134384,24BYRlsS8uIO4jA71mJ4Js,https://open.spotify.com/artist/24BYRlsS8uIO4jA71mJ4Js,medium_term,"bhangra, desi, desi hip hop, punjabi hip hop, punjabi pop"
Ardhito Pramono,60,1156918,3TkSKriI4EZmTxSFyzs0fd,https://open.spotify.com/artist/3TkSKriI4EZmTxSFyzs0fd,medium_term,indonesian indie
Varinder Brar,61,1190655,4C19flKmMm12gRxmBJWMCV,https://open.spotify.com/artist/4C19flKmMm12gRxmBJWMCV,medium_term,"punjabi hip hop, punjabi pop"
Sharry Mann,59,3034023,5azWSYXVoLKYKHlR5zNJ7i,https://open.spotify.com/artist/5azWSYXVoLKYKHlR5zNJ7i,medium_term,"bhangra, punjabi pop"
Shubh,80,8181502,5r3wPya2PpeTTsXsGhQU8O,https://open.spotify.com/artist/5r3wPya2PpeTTsXsGhQU8O,medium_term,"desi, desi hip hop, hindi hip hop, punjabi hip hop, punjabi pop"
Dayglow,66,1049953,6eJa3zG1QZLRB3xgRuyxbm,https://open.spotify.com/artist/6eJa3zG1QZLRB3xgRuyxbm,medium_term,indie rock
Mehdi Hassan,47,1675205,73Qu5twIpvKmLU0rPaEJi4,https://open.spotify.com/artist/73Qu5twIpvKmLU0rPaEJi4,medium_term,"ghazal, qawwali, sufi"
¥$,75,1007849,4xPQFgDA5M2xa0ZGo5iIsv,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,medium_term,
Strawberry Guy,70,1158395,1AbJ2cmwK400LSvdvBL5Jc,https://open.spotify.com/artist/1AbJ2cmwK400LSvdvBL5Jc,medium_term,bedroom pop
Tally Hall,64,967029,7lqaPghwYv2mE9baz5XQmL,https://open.spotify.com/artist/7lqaPghwYv2mE9baz5XQmL,medium_term,
Lil Wayne,90,17259936,55Aa2cqylxrFIXC767Z865,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,medium_term,"hip hop, rap"
