Album Name,Artist(s),Release Date,Total Tracks,Popularity,Genre(s),Album URL,my_rating
BALLADS 1,Joji,26-10-2018,12,7,pop,https://open.spotify.com/album/34GQP3dILpyCN018y2k61L,4
The Forever Story,JID,26-08-2022,15,3,rap,https://open.spotify.com/album/3QVjpIxcksDkJmOnvlOJjg,4
"Now, Not Yet",half alive,09-08-2019,12,61,pop,https://open.spotify.com/album/2KSWrd22LGc0Hmqs2Z5i7z,4
Favourite Worst Nightmare,Arctic Monkeys,22-04-2007,12,82,rock,https://open.spotify.com/album/1XkGORuUX2QGOEIL4EbJKm,3
AM,Arctic Monkeys,09-09-2013,12,92,rock,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu,4
"My Dear Melancholy,",The Weeknd,30-03-2018,7,82,pop,https://open.spotify.com/album/4qZBW3f2Q8y0k1A84d4iAO,3
Dawn FM,The Weeknd,06-01-2022,16,81,pop,https://open.spotify.com/album/2nLOHgzXzwFEpl62zAgCEC,4
After Hours,The Weeknd,20-03-2020,14,88,pop,https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj,4
IGOR,"Tyler, The Creator",17-05-2019,12,85,rap,https://open.spotify.com/album/5zi7WsKlIiUXv09tbGLKsE,5
DAMN.,Kendrick Lamar,14-04-2017,14,88,rap,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY,5
"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,22-10-2012,17,73,rap,https://open.spotify.com/album/748dZDqSZy6aPXKcI9H80u,5
Wiped Out!,The Neighbourhood,30-10-2015,11,81,pop,https://open.spotify.com/album/18iFxjZugvKhuNNMbLjZJF,3
Room On Fire,The Strokes,28-10-2003,11,73,rock,https://open.spotify.com/album/3HFbH1loOUbqCyPsLuHLLh,5
Melophobia,Cage The Elephant,08-10-2013,10,77,rock,https://open.spotify.com/album/4EK8gtQfdVsmDTji7gBFlz,3
Because the Internet,Childish Gambino,10-12-2013,19,3,rap,https://open.spotify.com/album/4GNIhgEGXzWGAefgN5qjdU,4
Social Cues,Cage The Elephant,19-04-2019,13,68,rock,https://open.spotify.com/album/2VuZJsJBPLwg9BeQFQle8G,4
Blurryface,Twenty One Pilots,15-05-2015,14,87,rap,https://open.spotify.com/album/3cQO7jp5S9qLBoIVtbkSM1,4
Vessel,Twenty One Pilots,08-01-2013,12,75,indie,https://open.spotify.com/album/2r2r78NE05YjyHyVbVgqFn,4
Twenty One Pilots,Twenty One Pilots,29-12-2009,14,9,indie,https://open.spotify.com/album/1Fexc96V24RL17Ko9VXUOM,5
